ORBIT_CNT,t,DETECTOR,LAYER,COLUMN,EVENT,DRIFT_TIME
1919925261,62451.666666666664,4,4,7,2,76.66666666666424
1919925261,62456.666666666664,4,2,8,2,81.66666666666424
1919925337,32627.5,4,4,4,1,2.5
1919925337,32649.166666666668,3,4,11,1,24.16666666666788
1919925337,32707.5,4,2,3,1,82.5
1919925337,32636.666666666668,3,3,1,1,11.66666666666788
1919925337,32635.0,4,1,2,1,10.0
1919925337,32632.5,4,3,5,1,7.5
1919925337,32710.0,3,1,2,1,85.0
1919925337,32904.166666666664,4,1,4,1,279.16666666666424
1919925337,32639.166666666668,3,1,3,1,14.16666666666788
1919925337,32684.166666666668,3,3,2,1,59.16666666666788
1919925337,32813.333333333336,3,1,12,1,188.33333333333576
1919925337,32830.833333333336,4,2,4,1,205.83333333333576
1919925337,32642.5,4,4,2,1,17.5
1919925337,32837.5,3,2,1,1,212.5
1919925337,32829.166666666664,3,2,12,1,204.16666666666424
1919925337,32659.166666666668,3,4,3,1,34.16666666666788
1919925337,32792.5,4,2,1,1,167.5
1919925337,32851.666666666664,3,4,1,1,226.66666666666424
1919925337,32876.666666666664,3,4,11,1,251.66666666666424
1919925337,32820.0,3,1,3,1,195.0
1919925337,32831.666666666664,4,2,2,1,206.66666666666424
1919925337,32920.0,3,3,2,1,295.0
1919925337,32953.333333333336,3,2,11,1,328.33333333333576
1919925337,32755.833333333332,3,3,3,1,130.83333333333212
1919925337,32942.5,4,2,2,1,317.5
1919925337,32927.5,3,1,2,1,302.5
1919925378,70472.5,3,1,2,2,22.5
1919925378,70541.66666666667,3,1,5,2,91.66666666667152
1919925378,70567.5,3,2,1,2,117.5
1919925378,70570.83333333333,3,3,5,2,120.83333333332848
1919925378,70650.83333333333,3,4,1,2,200.83333333332848
1919925378,70657.5,3,3,4,2,207.5
1919925488,12346.666666666666,1,2,12,1,46.66666666666606
1919925488,12335.833333333334,1,4,12,1,35.83333333333394
1919925488,12460.0,1,1,12,1,160.0
1919925488,12484.166666666666,1,3,12,1,184.16666666666606
1919925606,49321.666666666664,3,2,3,1,46.66666666666424
1919925606,49489.166666666664,3,3,3,1,214.16666666666424
1919925606,49560.833333333336,3,4,4,1,285.83333333333576
1919925615,79040.83333333333,3,2,6,1,115.83333333332848
1919925615,78962.5,4,4,6,1,37.5
1919925615,79110.83333333333,3,3,3,1,185.83333333332848
1919925615,79054.16666666667,3,4,6,1,129.16666666667152
1919925615,78990.83333333333,4,3,7,1,65.83333333332848
1919925615,79080.0,4,1,6,1,155.0
1919925615,79108.33333333333,4,3,6,1,183.33333333332848
1919925679,81027.5,2,1,14,2,27.5
1919925679,81055.0,2,2,14,2,55.0
1919925679,81142.5,1,1,15,2,142.5
1919925679,81038.33333333333,2,4,14,2,38.33333333332848
1919925679,81173.33333333333,1,4,12,2,173.33333333332848
1919925679,81183.33333333333,1,1,13,2,183.33333333332848
1919925679,81170.83333333333,2,4,14,2,170.83333333332848
1919925679,81107.5,1,3,15,2,107.5
1919925679,81190.83333333333,2,2,13,2,190.83333333332848
1919925679,81175.83333333333,2,4,13,2,175.83333333332848
1919925731,3972.5,1,4,4,1,122.5
1919925731,4138.333333333333,1,4,6,1,288.33333333333303
1919925731,4050.8333333333335,1,3,7,1,200.83333333333348
1919925731,4075.8333333333335,1,1,4,1,225.83333333333348
1919925731,4095.8333333333335,1,2,7,1,245.83333333333348
1919925850,36105.833333333336,3,1,6,1,30.83333333333576
1919925850,36090.833333333336,3,3,12,1,15.833333333335759
1919925850,36103.333333333336,4,1,7,1,28.33333333333576
1919925850,36083.333333333336,3,4,15,1,8.333333333335759
1919925850,36147.5,3,1,2,1,72.5
1919925850,36217.5,3,4,2,1,142.5
1919925850,36077.5,3,1,11,1,2.5
1919925850,36190.0,4,3,7,1,115.0
1919925850,36120.833333333336,3,2,12,1,45.83333333333576
1919925850,36209.166666666664,4,2,7,1,134.16666666666424
1919925850,36362.5,3,2,8,1,287.5
1919925850,36130.0,3,4,14,1,55.0
1919925850,36136.666666666664,3,3,2,1,61.66666666666424
1919925850,36169.166666666664,3,4,12,1,94.16666666666424
1919925850,36109.166666666664,4,4,10,1,34.16666666666424
1919925850,36342.5,3,2,2,1,267.5
1919925850,36339.166666666664,3,2,11,1,264.16666666666424
1919925850,36322.5,3,2,5,1,247.5
1919925850,36377.5,3,4,11,1,302.5
1919925850,36192.5,3,1,8,1,117.5
1919925850,36124.166666666664,4,2,11,1,49.16666666666424
1919925850,36208.333333333336,4,4,11,1,133.33333333333576
1919925850,36272.5,4,1,11,1,197.5
1919925850,36272.5,4,3,11,1,197.5
1919925850,36360.833333333336,4,4,10,1,285.83333333333576
1919925853,64615.0,3,3,13,1,40.0
1919925853,64790.833333333336,4,4,3,1,215.83333333333576
1919925853,64618.333333333336,3,1,3,1,43.33333333333576
1919925853,64725.0,4,1,4,1,150.0
1919925853,64639.166666666664,3,2,4,1,64.16666666666424
1919925853,64623.333333333336,3,2,13,1,48.33333333333576
1919925853,64812.5,4,3,3,1,237.5
1919925853,64605.833333333336,3,3,3,1,30.83333333333576
1919925853,64890.833333333336,3,1,13,1,315.83333333333576
1919925853,64859.166666666664,4,4,3,1,284.16666666666424
1919925853,64750.833333333336,3,3,4,1,175.83333333333576
1919925853,64871.666666666664,3,4,13,1,296.66666666666424
1919925853,64792.5,3,1,4,1,217.5
1919925853,64957.5,3,1,13,1,382.5
1919925853,64610.833333333336,4,4,2,1,35.83333333333576
1919925853,64775.833333333336,3,3,3,1,200.83333333333576
1919925853,64842.5,3,4,3,1,267.5
1919925853,64872.5,3,1,1,1,297.5
1919925853,64853.333333333336,3,2,2,1,278.33333333333576
1919925853,64848.333333333336,3,3,1,1,273.33333333333576
1919925853,64855.0,3,4,2,1,280.0
1919925853,64856.666666666664,3,2,1,1,281.66666666666424
1919925853,64856.666666666664,3,4,1,1,281.66666666666424
1919925965,53610.0,3,2,7,1,10.0
1919925965,53778.333333333336,3,4,5,1,178.33333333333576
1919925965,53679.166666666664,3,1,8,1,79.16666666666424
1919925965,53868.333333333336,3,2,1,1,268.33333333333576
1919925965,53795.0,3,3,8,1,195.0
1919925965,53875.833333333336,3,4,1,1,275.83333333333576
1919926043,39361.666666666664,3,2,4,2,211.66666666666424
1919926043,39325.833333333336,3,1,15,2,175.83333333333576
1919926043,39335.0,3,2,6,2,185.0
1919926043,39379.166666666664,3,3,14,2,229.16666666666424
1919926043,39160.833333333336,4,2,7,2,10.833333333335759
1919926043,39249.166666666664,4,3,3,2,99.16666666666424
1919926043,39381.666666666664,4,4,6,2,231.66666666666424
1919926043,39394.166666666664,4,1,8,2,244.16666666666424
1919926043,39207.5,4,2,3,2,57.5
1919926043,39213.333333333336,4,1,4,2,63.33333333333576
1919926043,39329.166666666664,4,3,4,2,179.16666666666424
1919926043,39355.833333333336,4,1,3,2,205.83333333333576
1919926168,74275.83333333333,3,2,12,2,75.83333333332848
1919926168,74358.33333333333,3,3,12,2,158.33333333332848
1919926168,74480.0,3,3,9,2,280.0
1919926168,74342.5,3,4,12,2,142.5
1919926184,16764.166666666668,4,1,2,2,164.16666666666788
1919926184,16605.0,4,3,3,2,5.0
1919926184,16839.166666666668,4,2,2,2,239.16666666666788
1919926184,16768.333333333332,4,3,9,2,168.33333333333212
1919926184,16698.333333333332,4,2,8,2,98.33333333333212
1919926184,16760.0,4,4,8,2,160.0
1919926184,16771.666666666668,4,2,7,2,171.66666666666788
1919926184,16795.833333333332,4,4,7,2,195.83333333333212
1919926233,22637.5,4,3,2,1,12.5
1919926233,22681.666666666668,3,3,5,1,56.66666666666788
1919926233,22746.666666666668,3,2,4,1,121.66666666666788
1919926233,22771.666666666668,3,1,5,1,146.66666666666788
1919926233,22858.333333333332,3,4,4,1,233.33333333333212
1919926233,22682.5,4,4,8,1,57.5
1919926233,22890.833333333332,3,1,5,1,265.8333333333321
1919926233,22675.0,4,4,4,1,50.0
1919926233,22668.333333333332,4,1,7,1,43.33333333333212
1919926233,22680.833333333332,4,2,7,1,55.83333333333212
1919926233,22685.0,4,1,6,1,60.0
1919926233,22720.0,4,4,7,1,95.0
1919926233,22695.833333333332,4,3,3,1,70.83333333333212
1919926233,22654.166666666668,4,2,6,1,29.16666666666788
1919926233,22715.0,4,3,8,1,90.0
1919926233,22793.333333333332,4,1,4,1,168.33333333333212
1919926233,22930.833333333332,4,3,7,1,305.8333333333321
1919926233,22926.666666666668,4,3,8,1,301.6666666666679
1919926233,22767.5,4,1,3,1,142.5
1919926233,22878.333333333332,4,2,8,1,253.33333333333212
1919926423,9368.333333333334,3,4,14,1,18.33333333333394
1919926423,9418.333333333334,4,1,8,1,68.33333333333394
1919926423,9420.833333333334,4,4,5,1,70.83333333333394
1919926423,9528.333333333334,3,2,7,1,178.33333333333394
1919926423,9654.166666666666,3,3,14,1,304.16666666666606
1919926423,9405.833333333334,4,4,6,1,55.83333333333394
1919926423,9516.666666666666,3,1,15,1,166.66666666666606
1919926423,9470.833333333334,4,4,7,1,120.83333333333394
1919926423,9603.333333333334,3,4,7,1,253.33333333333394
1919926423,9358.333333333334,4,1,7,1,8.33333333333394
1919926423,9582.5,4,2,8,1,232.5
1919926423,9521.666666666666,4,2,6,1,171.66666666666606
1919926423,9568.333333333334,4,2,7,1,218.33333333333394
1919926423,9564.166666666666,4,1,6,1,214.16666666666606
1919926491,10565.833333333334,3,4,6,1,15.83333333333394
1919926491,10712.5,3,1,1,1,162.5
1919926491,10738.333333333334,3,2,6,1,188.33333333333394
1919926491,10709.166666666666,3,3,1,1,159.16666666666606
1919926678,2079.1666666666665,4,2,9,1,54.166666666666515
1919926678,2075.0,4,1,9,1,50.0
1919926678,2095.0,4,3,9,1,70.0
1919926690,37280.833333333336,3,2,7,1,30.83333333333576
1919926690,37353.333333333336,3,4,7,1,103.33333333333576
1919926690,37455.0,3,4,14,1,205.0
1919926690,37544.166666666664,3,2,9,1,294.16666666666424
1919926690,37302.5,3,1,16,1,52.5
1919926690,37510.0,3,1,8,1,260.0
1919926690,37529.166666666664,3,4,15,1,279.16666666666424
1919926690,37450.0,3,3,8,1,200.0
1919926690,37456.666666666664,3,2,16,1,206.66666666666424
1919926783,84969.16666666667,4,3,1,1,44.16666666667152
1919926783,84972.5,3,4,2,1,47.5
1919926783,84967.5,1,3,14,1,42.5
1919926783,85043.33333333333,4,1,1,1,118.33333333332848
1919926783,85035.83333333333,4,2,4,1,110.83333333332848
1919926783,85013.33333333333,3,2,9,1,88.33333333332848
1919926783,85139.16666666667,1,1,14,1,214.16666666667152
1919926783,85174.16666666667,3,3,1,1,249.16666666667152
1919926783,85039.16666666667,3,1,10,1,114.16666666667152
1919926783,85155.83333333333,4,2,4,1,230.83333333332848
1919926783,85150.0,1,2,13,1,225.0
1919926783,85014.16666666667,3,1,3,1,89.16666666667152
1919926783,85148.33333333333,3,1,7,1,223.33333333332848
1919926783,85163.33333333333,3,3,10,1,238.33333333332848
1919926783,85179.16666666667,4,4,4,1,254.16666666667152
1919926783,85138.33333333333,3,3,3,1,213.33333333332848
1919926783,85186.66666666667,4,3,2,1,261.6666666666715
1919926783,85155.83333333333,3,2,7,1,230.83333333332848
1919926783,85229.16666666667,4,2,2,1,304.1666666666715
1919926916,70250.83333333333,3,3,2,2,50.83333333332848
1919926916,70205.0,3,2,1,2,5.0
1919926916,70217.5,3,3,3,2,17.5
1919926916,70232.5,3,4,1,2,32.5
1919926916,70249.16666666667,3,2,3,2,49.16666666667152
1919926916,70300.83333333333,3,1,2,2,100.83333333332848
1919926916,70269.16666666667,3,4,3,2,69.16666666667152
1919926916,70250.83333333333,3,1,3,2,50.83333333332848
1919927021,54802.5,4,4,1,1,202.5
1919927021,54850.833333333336,4,2,1,1,250.83333333333576
1919927021,54660.833333333336,4,4,9,1,60.83333333333576
1919927021,54677.5,4,1,7,1,77.5
1919927021,54856.666666666664,4,2,6,1,256.66666666666424
1919927033,38021.666666666664,1,2,2,1,171.66666666666424
1919927033,38012.5,1,1,5,1,162.5
1919927033,37996.666666666664,1,4,2,1,146.66666666666424
1919927033,38068.333333333336,1,3,5,1,218.33333333333576
1919927060,24934.166666666668,3,1,2,1,59.16666666666788
1919927060,24939.166666666668,3,3,5,1,64.16666666666788
1919927060,24911.666666666668,3,3,2,1,36.66666666666788
1919927060,24949.166666666668,3,4,2,1,74.16666666666788
1919927060,25099.166666666668,3,2,4,1,224.16666666666788
1919927060,25040.0,3,2,3,1,165.0
1919927060,25081.666666666668,3,4,3,1,206.66666666666788
1919927072,10386.666666666666,1,1,14,1,11.66666666666606
1919927072,10383.333333333334,1,4,15,1,8.33333333333394
1919927072,10490.0,1,4,8,1,115.0
1919927072,10627.5,1,2,8,1,252.5
1919927072,10405.833333333334,1,2,12,1,30.83333333333394
1919927072,10499.166666666666,2,3,15,1,124.16666666666606
1919927072,10463.333333333334,1,4,12,1,88.33333333333394
1919927072,10377.5,2,3,14,1,2.5
1919927072,10608.333333333334,1,3,13,1,233.33333333333394
